date,hour,Frequency,type,helpLevel
2022/4/9,9,6,total,acute
2022/4/9,9,7,total,urgent
2022/4/9,10,5,total,critical
2022/4/9,10,11,total,acute
2022/4/9,10,6,total,urgent
2022/4/9,11,7,total,acute
2022/4/9,11,9,total,urgent
2022/4/9,12,3,total,critical
2022/4/9,12,11,total,acute
2022/4/9,12,7,total,urgent
2022/4/9,13,4,total,critical
2022/4/9,13,10,total,acute
2022/4/9,13,8,total,urgent
2022/4/9,14,1,total,acute
2022/4/9,14,2,total,urgent
2022/4/9,15,1,total,critical
2022/4/9,15,7,total,acute
2022/4/9,15,6,total,urgent
2022/4/9,16,4,total,critical
2022/4/9,16,6,total,acute
2022/4/9,16,2,total,urgent
2022/4/9,17,2,total,critical
2022/4/9,17,4,total,acute
2022/4/9,17,5,total,urgent
2022/4/9,18,2,total,critical
2022/4/9,18,5,total,acute
2022/4/9,18,2,total,urgent
2022/4/9,19,2,total,critical
2022/4/9,19,7,total,acute
2022/4/9,19,3,total,urgent
2022/4/9,20,3,total,critical
2022/4/9,20,5,total,acute
2022/4/9,20,3,total,urgent
2022/4/9,21,4,total,critical
2022/4/9,21,5,total,acute
2022/4/9,21,6,total,urgent
2022/4/9,22,2,total,critical
2022/4/9,22,9,total,acute
2022/4/9,22,6,total,urgent
2022/4/9,23,3,total,critical
2022/4/9,23,9,total,acute
2022/4/9,23,5,total,urgent
2022/4/10,24,7,total,critical
2022/4/10,24,10,total,acute
2022/4/10,24,7,total,urgent
2022/4/10,1,2,total,critical
2022/4/10,1,15,total,acute
2022/4/10,1,7,total,urgent
2022/4/10,2,2,total,critical
2022/4/10,2,7,total,acute
2022/4/10,2,6,total,urgent
2022/4/10,3,3,total,acute
2022/4/10,3,2,total,urgent
2022/4/10,4,1,total,critical
2022/4/10,4,4,total,acute
2022/4/10,4,2,total,urgent
2022/4/10,5,2,total,critical
2022/4/10,5,1,total,acute
2022/4/10,6,1,total,critical
2022/4/10,6,17,total,acute
2022/4/10,6,13,total,urgent
2022/4/10,7,6,total,critical
2022/4/10,7,20,total,acute
2022/4/10,7,23,total,urgent
2022/4/10,8,17,total,critical
2022/4/10,8,46,total,acute
2022/4/10,8,25,total,urgent
2022/4/10,9,35,total,critical
2022/4/10,9,89,total,acute
2022/4/10,9,44,total,urgent
2022/4/10,10,53,total,critical
2022/4/10,10,126,total,acute
2022/4/10,10,88,total,urgent
2022/4/10,11,33,total,critical
2022/4/10,11,84,total,acute
2022/4/10,11,42,total,urgent
2022/4/10,12,2,total,critical
2022/4/10,18,8,total,critical
2022/4/10,18,21,total,acute
2022/4/10,18,3,total,urgent
2022/4/10,19,12,total,critical
2022/4/10,19,17,total,acute
2022/4/10,19,8,total,urgent
2022/4/10,20,19,total,critical
2022/4/10,20,31,total,acute
2022/4/10,20,8,total,urgent
2022/4/10,21,4,total,critical
2022/4/10,21,17,total,acute
2022/4/10,21,8,total,urgent
2022/4/10,22,9,total,critical
2022/4/10,22,18,total,acute
2022/4/10,22,10,total,urgent
2022/4/10,23,8,total,critical
2022/4/10,23,15,total,acute
2022/4/10,23,4,total,urgent
2022/4/11,24,4,total,critical
2022/4/11,24,25,total,acute
2022/4/11,24,3,total,urgent
2022/4/11,1,2,total,critical
2022/4/11,1,16,total,acute
2022/4/11,1,5,total,urgent
2022/4/11,2,1,total,critical
2022/4/11,2,1,total,acute
2022/4/11,2,4,total,urgent
2022/4/11,3,3,total,critical
2022/4/11,3,3,total,acute
2022/4/11,4,1,total,critical
2022/4/11,4,2,total,acute
2022/4/11,4,1,total,urgent
2022/4/11,5,3,total,acute
2022/4/11,6,4,total,critical
2022/4/11,6,8,total,acute
2022/4/11,6,5,total,urgent
2022/4/11,10,1,total,acute
2022/4/11,11,1,total,critical
2022/4/11,11,2,total,acute
2022/4/11,12,1,total,critical
2022/4/11,12,2,total,acute
2022/4/11,13,5,total,critical
2022/4/11,13,11,total,acute
2022/4/11,13,2,total,urgent
2022/4/11,14,12,total,critical
2022/4/11,14,23,total,acute
2022/4/11,14,9,total,urgent
2022/4/11,15,7,total,critical
2022/4/11,15,14,total,acute
2022/4/11,15,9,total,urgent
2022/4/11,16,6,total,critical
2022/4/11,16,13,total,acute
2022/4/11,16,8,total,urgent
2022/4/11,17,2,total,critical
2022/4/11,17,8,total,acute
2022/4/11,17,6,total,urgent
2022/4/11,18,4,total,critical
2022/4/11,18,9,total,acute
2022/4/11,18,3,total,urgent
2022/4/11,19,8,total,critical
2022/4/11,19,7,total,acute
2022/4/11,19,5,total,urgent
2022/4/11,20,7,total,critical
2022/4/11,20,6,total,acute
2022/4/11,20,2,total,urgent
2022/4/11,21,3,total,critical
2022/4/11,21,8,total,acute
2022/4/11,21,3,total,urgent
2022/4/11,22,9,total,critical
2022/4/11,22,6,total,acute
2022/4/11,22,2,total,urgent
2022/4/11,23,8,total,critical
2022/4/11,23,9,total,acute
2022/4/11,23,3,total,urgent
2022/4/12,24,1,total,critical
2022/4/12,24,2,total,acute
2022/4/12,24,3,total,urgent
2022/4/12,1,1,total,critical
2022/4/12,1,6,total,acute
2022/4/12,2,2,total,acute
2022/4/12,3,1,total,acute
2022/4/12,4,1,total,urgent
2022/4/12,5,1,total,critical
2022/4/12,5,2,total,acute
2022/4/12,5,1,total,urgent
2022/4/12,6,1,total,critical
2022/4/12,6,1,total,acute
2022/4/12,6,2,total,urgent
2022/4/12,7,1,total,critical
2022/4/12,7,5,total,acute
2022/4/12,7,4,total,urgent
2022/4/12,8,5,total,critical
2022/4/12,8,3,total,acute
2022/4/12,8,1,total,urgent
2022/4/12,9,6,total,acute
2022/4/12,9,5,total,urgent
2022/4/12,10,11,total,critical
2022/4/12,10,11,total,acute
2022/4/12,10,4,total,urgent
2022/4/12,11,7,total,critical
2022/4/12,11,9,total,acute
2022/4/12,11,9,total,urgent
2022/4/12,12,8,total,critical
2022/4/12,12,14,total,acute
2022/4/12,12,7,total,urgent
2022/4/12,13,2,total,critical
2022/4/12,13,11,total,acute
2022/4/12,13,5,total,urgent
2022/4/12,14,5,total,critical
2022/4/12,14,4,total,acute
2022/4/12,14,3,total,urgent
2022/4/12,15,5,total,critical
2022/4/12,15,7,total,acute
2022/4/12,15,5,total,urgent
2022/4/12,16,13,total,critical
2022/4/12,16,9,total,acute
2022/4/12,16,8,total,urgent
2022/4/12,17,8,total,critical
2022/4/12,17,18,total,acute
2022/4/12,17,4,total,urgent
2022/4/12,18,2,total,critical
2022/4/12,18,4,total,acute
2022/4/12,18,3,total,urgent
2022/4/12,19,5,total,critical
2022/4/12,19,1,total,acute
2022/4/12,19,2,total,urgent
2022/4/12,20,1,total,critical
2022/4/12,20,7,total,acute
2022/4/12,20,3,total,urgent
2022/4/12,21,5,total,critical
2022/4/12,21,11,total,acute
2022/4/12,21,2,total,urgent
2022/4/12,22,5,total,critical
2022/4/12,22,11,total,acute
2022/4/12,23,2,total,acute
2022/4/12,23,3,total,urgent
2022/4/13,24,1,total,critical
2022/4/13,24,4,total,acute
2022/4/13,24,1,total,urgent
2022/4/13,1,2,total,critical
2022/4/13,1,3,total,acute
2022/4/13,1,3,total,urgent
2022/4/13,2,3,total,acute
2022/4/13,3,1,total,critical
2022/4/13,4,1,total,critical
2022/4/13,4,1,total,urgent
2022/4/13,5,1,total,critical
2022/4/13,5,1,total,acute
2022/4/13,5,1,total,urgent
2022/4/13,6,2,total,critical
2022/4/13,6,2,total,acute
2022/4/13,6,3,total,urgent
2022/4/13,7,2,total,critical
2022/4/13,7,10,total,acute
2022/4/13,7,4,total,urgent
2022/4/13,8,2,total,critical
2022/4/13,8,4,total,acute
2022/4/13,8,5,total,urgent
2022/4/13,9,3,total,critical
2022/4/13,9,5,total,acute
2022/4/13,9,1,total,urgent
2022/4/13,10,12,total,critical
2022/4/13,10,21,total,acute
2022/4/13,10,12,total,urgent
2022/4/13,11,21,total,critical
2022/4/13,11,57,total,acute
2022/4/13,11,39,total,urgent
2022/4/13,12,41,total,critical
2022/4/13,12,106,total,acute
2022/4/13,12,45,total,urgent
2022/4/13,13,53,total,critical
2022/4/13,13,88,total,acute
2022/4/13,13,52,total,urgent
2022/4/13,14,55,total,critical
2022/4/13,14,122,total,acute
2022/4/13,14,65,total,urgent
2022/4/13,15,44,total,critical
2022/4/13,15,77,total,acute
2022/4/13,15,38,total,urgent
2022/4/13,16,29,total,critical
2022/4/13,16,94,total,acute
2022/4/13,16,43,total,urgent
2022/4/13,17,44,total,critical
2022/4/13,17,78,total,acute
2022/4/13,17,42,total,urgent
2022/4/13,18,36,total,critical
2022/4/13,18,88,total,acute
2022/4/13,18,37,total,urgent
2022/4/13,19,31,total,critical
2022/4/13,19,86,total,acute
2022/4/13,19,34,total,urgent
2022/4/13,20,31,total,critical
2022/4/13,20,70,total,acute
2022/4/13,20,32,total,urgent
2022/4/13,21,29,total,critical
2022/4/13,21,56,total,acute
2022/4/13,21,34,total,urgent
2022/4/13,22,36,total,critical
2022/4/13,22,53,total,acute
2022/4/13,22,24,total,urgent
2022/4/13,23,25,total,critical
2022/4/13,23,56,total,acute
2022/4/13,23,22,total,urgent
2022/4/14,24,27,total,critical
2022/4/14,24,53,total,acute
2022/4/14,24,23,total,urgent
2022/4/14,1,12,total,critical
2022/4/14,1,23,total,acute
2022/4/14,1,14,total,urgent
2022/4/14,2,13,total,critical
2022/4/14,2,17,total,acute
2022/4/14,2,16,total,urgent
2022/4/14,3,8,total,critical
2022/4/14,3,14,total,acute
2022/4/14,3,11,total,urgent
2022/4/14,4,1,total,critical
2022/4/14,4,2,total,acute
2022/4/14,4,1,total,urgent
2022/4/14,5,4,total,critical
2022/4/14,6,4,total,critical
2022/4/14,6,4,total,acute
2022/4/14,6,7,total,urgent
2022/4/14,7,11,total,critical
2022/4/14,7,1,total,acute
2022/4/14,8,13,total,critical
2022/4/14,8,6,total,acute
2022/4/14,8,1,total,urgent
2022/4/14,9,14,total,critical
2022/4/14,9,11,total,acute
2022/4/14,9,7,total,urgent
2022/4/14,10,40,total,critical
2022/4/14,10,70,total,acute
2022/4/14,10,42,total,urgent
2022/4/14,11,59,total,critical
2022/4/14,11,66,total,acute
2022/4/14,11,51,total,urgent
2022/4/14,12,63,total,critical
2022/4/14,12,81,total,acute
2022/4/14,12,46,total,urgent
2022/4/14,13,44,total,critical
2022/4/14,13,32,total,acute
2022/4/14,13,11,total,urgent
2022/4/14,14,52,total,critical
2022/4/14,14,45,total,acute
2022/4/14,14,23,total,urgent
2022/4/14,15,68,total,critical
2022/4/14,15,89,total,acute
2022/4/14,15,38,total,urgent
2022/4/14,16,40,total,critical
2022/4/14,16,35,total,acute
2022/4/14,16,25,total,urgent
2022/4/14,17,33,total,critical
2022/4/14,17,15,total,acute
2022/4/14,17,6,total,urgent
2022/4/14,18,14,total,critical
2022/4/14,18,18,total,acute
2022/4/14,18,3,total,urgent
2022/4/14,19,33,total,critical
2022/4/14,19,16,total,acute
2022/4/14,19,10,total,urgent
2022/4/14,20,32,total,critical
2022/4/14,20,17,total,acute
2022/4/14,20,4,total,urgent
2022/4/14,21,28,total,critical
2022/4/14,21,25,total,acute
2022/4/14,21,13,total,urgent
2022/4/14,22,45,total,critical
2022/4/14,22,24,total,acute
2022/4/14,22,6,total,urgent
2022/4/14,23,38,total,critical
2022/4/14,23,19,total,acute
2022/4/14,23,9,total,urgent
2022/4/15,24,32,total,critical
2022/4/15,24,19,total,acute
2022/4/15,24,4,total,urgent
2022/4/15,1,28,total,critical
2022/4/15,1,12,total,acute
2022/4/15,1,8,total,urgent
2022/4/15,2,18,total,critical
2022/4/15,2,12,total,acute
2022/4/15,2,3,total,urgent
2022/4/15,3,19,total,critical
2022/4/15,3,5,total,acute
2022/4/15,3,3,total,urgent
2022/4/15,4,11,total,critical
2022/4/15,4,4,total,acute
2022/4/15,4,3,total,urgent
2022/4/15,5,6,total,critical
2022/4/15,5,4,total,acute
2022/4/15,5,2,total,urgent
2022/4/15,6,18,total,critical
2022/4/15,6,6,total,acute
2022/4/15,6,2,total,urgent
2022/4/15,7,37,total,critical
2022/4/15,7,7,total,acute
2022/4/15,7,13,total,urgent
2022/4/15,8,41,total,critical
2022/4/15,8,23,total,acute
2022/4/15,8,5,total,urgent
2022/4/15,9,35,total,critical
2022/4/15,9,19,total,acute
2022/4/15,9,11,total,urgent
2022/4/15,10,44,total,critical
2022/4/15,10,47,total,acute
2022/4/15,10,18,total,urgent
2022/4/15,11,46,total,critical
2022/4/15,11,60,total,acute
2022/4/15,11,30,total,urgent
2022/4/15,12,50,total,critical
2022/4/15,12,67,total,acute
2022/4/15,12,21,total,urgent
2022/4/15,13,44,total,critical
2022/4/15,13,50,total,acute
2022/4/15,13,29,total,urgent
2022/4/15,14,42,total,critical
2022/4/15,14,56,total,acute
2022/4/15,14,19,total,urgent
2022/4/15,15,52,total,critical
2022/4/15,15,39,total,acute
2022/4/15,15,24,total,urgent
2022/4/15,16,41,total,critical
2022/4/15,16,52,total,acute
2022/4/15,16,23,total,urgent
2022/4/15,17,35,total,critical
2022/4/15,17,48,total,acute
2022/4/15,17,21,total,urgent
2022/4/15,18,36,total,critical
2022/4/15,18,43,total,acute
2022/4/15,18,30,total,urgent
2022/4/15,19,40,total,critical
2022/4/15,19,34,total,acute
2022/4/15,19,21,total,urgent
2022/4/15,20,33,total,critical
2022/4/15,20,32,total,acute
2022/4/15,20,9,total,urgent
2022/4/15,21,30,total,critical
2022/4/15,21,25,total,acute
2022/4/15,21,12,total,urgent
2022/4/15,22,28,total,critical
2022/4/15,22,14,total,acute
2022/4/15,22,16,total,urgent
2022/4/15,23,19,total,critical
2022/4/15,23,27,total,acute
2022/4/15,23,12,total,urgent
2022/4/16,24,17,total,critical
2022/4/16,24,12,total,acute
2022/4/16,24,8,total,urgent
2022/4/16,1,4,total,critical
2022/4/16,1,8,total,acute
2022/4/16,1,2,total,urgent
2022/4/16,2,4,total,acute
2022/4/16,2,3,total,urgent
2022/4/16,3,2,total,critical
2022/4/16,3,1,total,acute
2022/4/16,3,1,total,urgent
2022/4/16,4,6,total,critical
2022/4/16,4,1,total,urgent
2022/4/16,5,4,total,critical
2022/4/16,5,3,total,acute
2022/4/16,5,1,total,urgent
2022/4/16,6,10,total,critical
2022/4/16,6,5,total,acute
2022/4/16,6,2,total,urgent
2022/4/16,7,9,total,critical
2022/4/16,7,15,total,acute
2022/4/16,7,5,total,urgent
2022/4/16,8,22,total,critical
2022/4/16,8,16,total,acute
2022/4/16,8,16,total,urgent
2022/4/16,9,17,total,critical
2022/4/16,9,26,total,acute
2022/4/16,9,21,total,urgent
2022/4/16,10,27,total,critical
2022/4/16,10,21,total,acute
2022/4/16,10,13,total,urgent
2022/4/16,11,22,total,critical
2022/4/16,11,16,total,acute
2022/4/16,11,8,total,urgent
2022/4/16,12,28,total,critical
2022/4/16,12,23,total,acute
2022/4/16,12,14,total,urgent
2022/4/16,13,31,total,critical
2022/4/16,13,23,total,acute
2022/4/16,13,18,total,urgent
2022/4/16,14,19,total,critical
2022/4/16,14,33,total,acute
2022/4/16,14,7,total,urgent
2022/4/16,15,21,total,critical
2022/4/16,15,20,total,acute
2022/4/16,15,7,total,urgent
2022/4/16,16,23,total,critical
2022/4/16,16,27,total,acute
2022/4/16,16,9,total,urgent
2022/4/16,17,20,total,critical
2022/4/16,17,17,total,acute
2022/4/16,17,8,total,urgent
2022/4/16,18,16,total,critical
2022/4/16,18,13,total,acute
2022/4/16,18,8,total,urgent
2022/4/16,19,18,total,critical
2022/4/16,19,21,total,acute
2022/4/16,19,5,total,urgent
2022/4/16,20,20,total,critical
2022/4/16,20,21,total,acute
2022/4/16,20,4,total,urgent
2022/4/16,21,17,total,critical
2022/4/16,21,21,total,acute
2022/4/16,21,7,total,urgent
2022/4/16,22,11,total,critical
2022/4/16,22,11,total,acute
2022/4/16,22,6,total,urgent
2022/4/16,23,7,total,critical
2022/4/16,23,16,total,acute
2022/4/16,23,5,total,urgent
2022/4/17,24,9,total,critical
2022/4/17,24,14,total,acute
2022/4/17,24,5,total,urgent
2022/4/17,1,6,total,critical
2022/4/17,1,3,total,acute
2022/4/17,1,2,total,urgent
2022/4/17,2,2,total,critical
2022/4/17,2,6,total,acute
2022/4/17,2,5,total,urgent
2022/4/17,3,2,total,critical
2022/4/17,3,6,total,acute
2022/4/17,3,1,total,urgent
2022/4/17,4,1,total,acute
2022/4/17,5,1,total,critical
2022/4/17,5,2,total,acute
2022/4/17,6,2,total,critical
2022/4/17,6,4,total,acute
2022/4/17,6,2,total,urgent
2022/4/17,7,2,total,critical
2022/4/17,7,9,total,acute
2022/4/17,7,3,total,urgent
2022/4/17,8,9,total,critical
2022/4/17,8,7,total,acute
2022/4/17,8,11,total,urgent
2022/4/17,9,9,total,critical
2022/4/17,9,11,total,acute
2022/4/17,9,5,total,urgent
2022/4/17,10,17,total,critical
2022/4/17,10,13,total,acute
2022/4/17,10,8,total,urgent
2022/4/17,11,14,total,critical
2022/4/17,11,15,total,acute
2022/4/17,11,10,total,urgent
2022/4/17,12,8,total,critical
2022/4/17,12,21,total,acute
2022/4/17,12,5,total,urgent
2022/4/17,13,15,total,critical
2022/4/17,13,16,total,acute
2022/4/17,13,3,total,urgent
2022/4/17,14,11,total,critical
2022/4/17,14,21,total,acute
2022/4/17,14,6,total,urgent
2022/4/17,15,11,total,critical
2022/4/17,15,18,total,acute
2022/4/17,15,6,total,urgent
2022/4/17,16,8,total,critical
2022/4/17,16,12,total,acute
2022/4/17,16,3,total,urgent
2022/4/17,17,12,total,critical
2022/4/17,17,13,total,acute
2022/4/17,17,8,total,urgent
2022/4/17,18,9,total,critical
2022/4/17,18,10,total,acute
2022/4/17,18,3,total,urgent
2022/4/17,19,10,total,critical
2022/4/17,19,13,total,acute
2022/4/17,19,2,total,urgent
2022/4/17,20,13,total,critical
2022/4/17,20,10,total,acute
2022/4/17,20,1,total,urgent
2022/4/17,21,14,total,critical
2022/4/17,21,14,total,acute
2022/4/17,21,4,total,urgent
2022/4/17,22,8,total,critical
2022/4/17,22,11,total,acute
2022/4/17,22,3,total,urgent
2022/4/17,23,5,total,critical
2022/4/17,23,8,total,acute
2022/4/17,23,6,total,urgent
2022/4/18,24,6,total,critical
2022/4/18,24,8,total,acute
2022/4/18,24,3,total,urgent
2022/4/18,1,2,total,critical
2022/4/18,1,1,total,acute
2022/4/18,1,1,total,urgent
2022/4/18,2,6,total,critical
2022/4/18,2,2,total,urgent
2022/4/18,3,2,total,critical
2022/4/18,5,1,total,critical
2022/4/18,5,4,total,urgent
2022/4/18,6,2,total,critical
2022/4/18,6,2,total,acute
2022/4/18,7,1,total,critical
2022/4/18,7,2,total,acute
2022/4/18,7,2,total,urgent
2022/4/18,8,1,total,critical
2022/4/18,8,9,total,acute
2022/4/18,8,1,total,urgent
2022/4/18,9,15,total,critical
2022/4/18,9,16,total,acute
2022/4/18,9,7,total,urgent
2022/4/18,10,15,total,critical
2022/4/18,10,17,total,acute
2022/4/18,10,6,total,urgent
2022/4/18,11,10,total,critical
2022/4/18,11,11,total,acute
2022/4/18,11,6,total,urgent
2022/4/18,12,12,total,critical
2022/4/18,12,14,total,acute
2022/4/18,12,7,total,urgent
2022/4/18,13,12,total,critical
2022/4/18,13,17,total,acute
2022/4/18,13,2,total,urgent
2022/4/18,14,14,total,critical
2022/4/18,14,11,total,acute
2022/4/18,14,7,total,urgent
2022/4/18,15,13,total,critical
2022/4/18,15,8,total,acute
2022/4/18,15,4,total,urgent
2022/4/18,16,12,total,critical
2022/4/18,16,12,total,acute
2022/4/18,16,7,total,urgent
2022/4/18,17,9,total,critical
2022/4/18,17,4,total,acute
2022/4/18,17,1,total,urgent
2022/4/18,18,7,total,critical
2022/4/18,18,6,total,acute
2022/4/18,18,4,total,urgent
2022/4/18,19,10,total,critical
2022/4/18,19,4,total,acute
2022/4/18,19,4,total,urgent
2022/4/18,20,9,total,critical
2022/4/18,20,9,total,acute
2022/4/18,20,4,total,urgent
2022/4/18,21,5,total,critical
2022/4/18,21,10,total,acute
2022/4/18,21,8,total,urgent
2022/4/18,22,10,total,critical
2022/4/18,22,12,total,acute
2022/4/18,22,2,total,urgent
2022/4/18,23,2,total,critical
2022/4/18,23,3,total,acute
2022/4/18,23,2,total,urgent
2022/4/19,24,4,total,critical
2022/4/19,24,1,total,urgent
2022/4/19,1,1,total,critical
2022/4/19,2,1,total,urgent
2022/4/19,3,1,total,critical
2022/4/19,3,1,total,acute
2022/4/19,4,1,total,urgent
2022/4/19,5,1,total,critical
2022/4/19,5,1,total,acute
2022/4/19,6,1,total,acute
2022/4/19,6,1,total,urgent
2022/4/19,7,2,total,critical
2022/4/19,7,3,total,acute
2022/4/19,7,1,total,urgent
2022/4/19,8,7,total,critical
2022/4/19,8,5,total,acute
2022/4/19,8,2,total,urgent
2022/4/19,9,6,total,critical
2022/4/19,9,2,total,acute
2022/4/19,9,4,total,urgent
2022/4/19,10,8,total,critical
2022/4/19,10,9,total,acute
2022/4/19,10,12,total,urgent
2022/4/19,11,8,total,critical
2022/4/19,11,10,total,acute
2022/4/19,11,2,total,urgent
2022/4/19,12,4,total,critical
2022/4/19,12,3,total,acute
2022/4/19,12,1,total,urgent
2022/4/19,13,8,total,critical
2022/4/19,13,8,total,acute
2022/4/19,14,6,total,critical
2022/4/19,14,8,total,acute
2022/4/19,14,3,total,urgent
2022/4/19,15,6,total,critical
2022/4/19,15,10,total,acute
2022/4/19,15,6,total,urgent
2022/4/19,16,9,total,critical
2022/4/19,16,9,total,acute
2022/4/19,16,2,total,urgent
2022/4/19,17,9,total,critical
2022/4/19,17,9,total,acute
2022/4/19,17,2,total,urgent
2022/4/19,18,7,total,critical
2022/4/19,18,4,total,acute
2022/4/19,18,2,total,urgent
2022/4/19,19,9,total,critical
2022/4/19,19,9,total,acute
2022/4/19,19,4,total,urgent
2022/4/19,20,10,total,critical
2022/4/19,20,12,total,acute
2022/4/19,20,5,total,urgent
2022/4/19,21,8,total,critical
2022/4/19,21,7,total,acute
2022/4/19,21,10,total,urgent
2022/4/19,22,3,total,critical
2022/4/19,22,6,total,acute
2022/4/19,22,3,total,urgent
2022/4/19,23,3,total,critical
2022/4/19,23,9,total,acute
2022/4/19,23,3,total,urgent
2022/4/20,24,7,total,critical
2022/4/20,24,5,total,acute
2022/4/20,24,1,total,urgent
2022/4/20,1,6,total,critical
2022/4/20,2,1,total,critical
2022/4/20,2,2,total,acute
2022/4/20,2,1,total,urgent
2022/4/20,3,1,total,urgent
2022/4/20,4,1,total,urgent
2022/4/20,5,1,total,acute
